CP015498.1	k141_338	99.087	3616	33	0	1161552	1165167	58291	54676	0.0	6495
CP015498.1	k141_338	98.771	2034	22	3	1178788	1180819	52613	50581	0.0	3615
CP015498.1	k141_338	95.679	162	5	2	380033	380194	59611	59770	3.10e-66	259
CP015498.1	k141_338	100.000	140	0	0	1177825	1177964	59631	59770	3.10e-66	259
CP015498.1	k141_338	99.291	141	1	0	19331	19471	59630	59770	4.01e-65	255
CP015498.1	k141_338	99.286	140	1	0	2093467	2093606	59770	59631	1.44e-64	254
CP015498.1	k141_338	99.281	139	1	0	1224867	1225005	59770	59632	5.19e-64	252
CP015498.1	k141_338	98.571	140	2	0	1287871	1288010	59770	59631	6.71e-63	248
CP015498.1	k141_338	94.872	156	4	4	17638	17790	155	1	1.12e-60	241
CP015498.1	k141_338	96.575	146	4	1	1328134	1328278	146	1	1.12e-60	241
CP015498.1	k141_338	95.918	147	4	2	444974	445118	147	1	1.45e-59	237
CP015498.1	k141_338	95.918	147	4	2	1859296	1859440	1	147	1.45e-59	237
CP015498.1	k141_338	96.528	144	4	1	739782	739924	144	1	1.45e-59	237
CP015498.1	k141_338	94.702	151	7	1	1157316	1157465	151	1	1.88e-58	233
CP015498.1	k141_338	95.862	145	4	2	36824	36967	144	1	1.88e-58	233
CP015498.1	k141_338	96.479	142	4	1	739037	739177	1	142	1.88e-58	233
CP015498.1	k141_338	96.479	142	4	1	1284113	1284253	142	1	1.88e-58	233
CP015498.1	k141_338	95.270	148	4	3	1839269	1839414	147	1	6.76e-58	231
CP015498.1	k141_338	95.270	148	4	3	1521513	1521658	147	1	6.76e-58	231
CP015498.1	k141_338	95.238	147	5	2	137526	137671	146	1	6.76e-58	231
CP015498.1	k141_338	96.454	141	4	1	292368	292507	1	141	6.76e-58	231
CP015498.1	k141_338	96.454	141	4	1	547850	547989	1	141	6.76e-58	231
CP015498.1	k141_338	96.454	141	3	2	1610647	1610785	141	1	6.76e-58	231
CP015498.1	k141_338	96.454	141	4	1	1418341	1418480	1	141	6.76e-58	231
CP015498.1	k141_338	96.454	141	4	1	584623	584762	141	1	6.76e-58	231
CP015498.1	k141_338	96.454	141	4	1	2001715	2001854	1	141	6.76e-58	231
CP015498.1	k141_338	96.454	141	4	1	2145633	2145772	1	141	6.76e-58	231
